strategy,symbol,side,time_open,time_close,volume,net_profit,_mfe_basis,_row,_source,atr,chase_entry,cluster_id,commission,confidence,entry_price,exit_deal,exit_price,exit_reason,false_break,fee,gross_profit,holding_bucket,holding_minutes,hour,initial_sl,initial_tp,loss_classification,mae_money,magic,market_regime,mfe_minus_net_profit,mfe_money,mfe_note,position_id,proxy_atr_sma_tr14,raw,regime,regime_available_at,regime_definition,risk_money,risk_pct,run_id,segment,session,setup_id,sl_atr_ratio,slippage_money,source_symbol,spread_money,spread_points,swap
Scalping,XAUUSD,BUY,2025-01-06T02:00:00+00:00,2025-01-06T02:15:00+00:00,0.02,12.0,unknown,2,/workspace/scratch/d4d90d2548bc/gsm-analyzer-work/python_analyzer/examples/synthetic/trades.csv,,true,,-0.14,,2600.0,,2606.07,,,0.0,12.14,15–60分钟,15.0,2,2595.0,2608.0,ENTRY_TOO_LATE,1.0,,震荡代理,7.0,19.0,毛报价MFE与净收益差额，非已证实可锁定利润,S1,2.2121428571426804,"{""run_id"": ""SYNTHETIC_DEMO_ONLY"", ""position_id"": ""S1"", ""strategy"": ""Scalping"", ""symbol"": ""XAUUSD"", ""side"": ""BUY"", ""time_open"": ""2025-01-06T02:00:00+00:00"", ""time_close"": ""2025-01-06T02:15:00+00:00"", ""volume"": ""0.02"", ""entry_price"": ""2600"", ""exit_price"": ""2606.07"", ""initial_sl"": ""2595"", ""initial_tp"": ""2608"", ""gross_profit"": ""12.14"", ""commission"": ""-0.14"", ""swap"": ""0"", ""fee"": ""0"", ""net_profit"": ""12"", ""mfe_money"": ""19"", ""mae_money"": ""1"", ""risk_pct"": ""1.8"", ""setup_id"": ""Z1"", ""spread_money"": """", ""slippage_money"": """", ""spread_points"": ""12"", ""chase_entry"": ""YES"", ""loss_classification"": ""ENTRY_TOO_LATE""}",,2025-01-06T02:00:00+00:00,"21根已收盘K线净位移与2×SMA(TR,14)；研究代理，不等于EA指标",,1.8,SYNTHETIC_DEMO_ONLY,development,00–05时,Z1,2.260251856635634,,XAUUSD,,12.0,0.0
Intraday,XAUUSD,SELL,2025-01-06T06:00:00+00:00,2025-01-06T06:55:00+00:00,0.02,-8.0,unknown,3,/workspace/scratch/d4d90d2548bc/gsm-analyzer-work/python_analyzer/examples/synthetic/trades.csv,,false,,-0.14,,2602.0,,2605.93,,,0.0,-7.86,15–60分钟,55.0,6,2607.0,2594.0,UNKNOWN,8.0,,震荡代理,8.0,0.0,毛报价MFE与净收益差额，非已证实可锁定利润,S2,2.2121428571426804,"{""run_id"": ""SYNTHETIC_DEMO_ONLY"", ""position_id"": ""S2"", ""strategy"": ""Intraday"", ""symbol"": ""XAUUSD"", ""side"": ""SELL"", ""time_open"": ""2025-01-06T06:00:00+00:00"", ""time_close"": ""2025-01-06T06:55:00+00:00"", ""volume"": ""0.02"", ""entry_price"": ""2602"", ""exit_price"": ""2605.93"", ""initial_sl"": ""2607"", ""initial_tp"": ""2594"", ""gross_profit"": ""-7.86"", ""commission"": ""-0.14"", ""swap"": ""0"", ""fee"": ""0"", ""net_profit"": ""-8"", ""mfe_money"": ""0"", ""mae_money"": ""8"", ""risk_pct"": ""0.5"", ""setup_id"": ""Z2"", ""spread_money"": """", ""slippage_money"": """", ""spread_points"": ""12"", ""chase_entry"": ""NO"", ""loss_classification"": ""UNKNOWN""}",,2025-01-06T06:00:00+00:00,"21根已收盘K线净位移与2×SMA(TR,14)；研究代理，不等于EA指标",,0.5,SYNTHETIC_DEMO_ONLY,development,06–11时,Z2,2.260251856635634,,XAUUSD,,12.0,0.0
Swing,XAUUSD,BUY,2025-01-06T10:00:00+00:00,2025-01-06T11:35:00+00:00,0.02,5.0,unknown,4,/workspace/scratch/d4d90d2548bc/gsm-analyzer-work/python_analyzer/examples/synthetic/trades.csv,,false,,-0.14,,2604.0,,2606.57,,,0.0,5.14,1–24小时,95.0,10,2599.0,2612.0,UNKNOWN,1.0,,震荡代理,7.0,12.0,毛报价MFE与净收益差额，非已证实可锁定利润,S3,2.2121428571426804,"{""run_id"": ""SYNTHETIC_DEMO_ONLY"", ""position_id"": ""S3"", ""strategy"": ""Swing"", ""symbol"": ""XAUUSD"", ""side"": ""BUY"", ""time_open"": ""2025-01-06T10:00:00+00:00"", ""time_close"": ""2025-01-06T11:35:00+00:00"", ""volume"": ""0.02"", ""entry_price"": ""2604"", ""exit_price"": ""2606.57"", ""initial_sl"": ""2599"", ""initial_tp"": ""2612"", ""gross_profit"": ""5.14"", ""commission"": ""-0.14"", ""swap"": ""0"", ""fee"": ""0"", ""net_profit"": ""5"", ""mfe_money"": ""12"", ""mae_money"": ""1"", ""risk_pct"": ""0.5"", ""setup_id"": ""Z3"", ""spread_money"": """", ""slippage_money"": """", ""spread_points"": ""12"", ""chase_entry"": ""NO"", ""loss_classification"": ""UNKNOWN""}",,2025-01-06T10:00:00+00:00,"21根已收盘K线净位移与2×SMA(TR,14)；研究代理，不等于EA指标",,0.5,SYNTHETIC_DEMO_ONLY,development,06–11时,Z3,2.260251856635634,,XAUUSD,,12.0,0.0
Scalping,XAUUSD,SELL,2025-01-06T14:00:00+00:00,2025-01-06T14:15:00+00:00,0.02,-11.0,unknown,5,/workspace/scratch/d4d90d2548bc/gsm-analyzer-work/python_analyzer/examples/synthetic/trades.csv,,false,,-0.14,,2606.0,,2611.43,,,0.0,-10.86,15–60分钟,15.0,14,2611.0,2598.0,UNKNOWN,11.0,,震荡代理,11.0,0.0,毛报价MFE与净收益差额，非已证实可锁定利润,S4,2.2121428571426804,"{""run_id"": ""SYNTHETIC_DEMO_ONLY"", ""position_id"": ""S4"", ""strategy"": ""Scalping"", ""symbol"": ""XAUUSD"", ""side"": ""SELL"", ""time_open"": ""2025-01-06T14:00:00+00:00"", ""time_close"": ""2025-01-06T14:15:00+00:00"", ""volume"": ""0.02"", ""entry_price"": ""2606"", ""exit_price"": ""2611.43"", ""initial_sl"": ""2611"", ""initial_tp"": ""2598"", ""gross_profit"": ""-10.86"", ""commission"": ""-0.14"", ""swap"": ""0"", ""fee"": ""0"", ""net_profit"": ""-11"", ""mfe_money"": ""0"", ""mae_money"": ""11"", ""risk_pct"": ""0.5"", ""setup_id"": ""Z4"", ""spread_money"": """", ""slippage_money"": """", ""spread_points"": ""12"", ""chase_entry"": ""NO"", ""loss_classification"": ""UNKNOWN""}",,2025-01-06T14:00:00+00:00,"21根已收盘K线净位移与2×SMA(TR,14)；研究代理，不等于EA指标",,0.5,SYNTHETIC_DEMO_ONLY,development,12–17时,Z4,2.260251856635634,,XAUUSD,,12.0,0.0
Intraday,XAUUSD,BUY,2025-01-06T18:00:00+00:00,2025-01-06T18:55:00+00:00,0.02,20.0,unknown,6,/workspace/scratch/d4d90d2548bc/gsm-analyzer-work/python_analyzer/examples/synthetic/trades.csv,,true,,-0.14,,2608.0,,2618.07,,,0.0,20.14,15–60分钟,55.0,18,2603.0,2616.0,ENTRY_TOO_LATE,1.0,,震荡代理,7.0,27.0,毛报价MFE与净收益差额，非已证实可锁定利润,S5,2.212142857142648,"{""run_id"": ""SYNTHETIC_DEMO_ONLY"", ""position_id"": ""S5"", ""strategy"": ""Intraday"", ""symbol"": ""XAUUSD"", ""side"": ""BUY"", ""time_open"": ""2025-01-06T18:00:00+00:00"", ""time_close"": ""2025-01-06T18:55:00+00:00"", ""volume"": ""0.02"", ""entry_price"": ""2608"", ""exit_price"": ""2618.07"", ""initial_sl"": ""2603"", ""initial_tp"": ""2616"", ""gross_profit"": ""20.14"", ""commission"": ""-0.14"", ""swap"": ""0"", ""fee"": ""0"", ""net_profit"": ""20"", ""mfe_money"": ""27"", ""mae_money"": ""1"", ""risk_pct"": ""0.5"", ""setup_id"": ""Z5"", ""spread_money"": """", ""slippage_money"": """", ""spread_points"": ""12"", ""chase_entry"": ""YES"", ""loss_classification"": ""ENTRY_TOO_LATE""}",,2025-01-06T18:00:00+00:00,"21根已收盘K线净位移与2×SMA(TR,14)；研究代理，不等于EA指标",,0.5,SYNTHETIC_DEMO_ONLY,development,18–23时,Z5,2.2602518566356675,,XAUUSD,,12.0,0.0
Swing,XAUUSD,SELL,2025-01-06T22:00:00+00:00,2025-01-06T23:35:00+00:00,0.02,0.0,unknown,7,/workspace/scratch/d4d90d2548bc/gsm-analyzer-work/python_analyzer/examples/synthetic/trades.csv,,false,,-0.14,,2610.0,,2609.93,,,0.0,0.14,1–24小时,95.0,22,2615.0,2602.0,UNKNOWN,1.0,,震荡代理,7.0,7.0,毛报价MFE与净收益差额，非已证实可锁定利润,S6,2.212142857142648,"{""run_id"": ""SYNTHETIC_DEMO_ONLY"", ""position_id"": ""S6"", ""strategy"": ""Swing"", ""symbol"": ""XAUUSD"", ""side"": ""SELL"", ""time_open"": ""2025-01-06T22:00:00+00:00"", ""time_close"": ""2025-01-06T23:35:00+00:00"", ""volume"": ""0.02"", ""entry_price"": ""2610"", ""exit_price"": ""2609.93"", ""initial_sl"": ""2615"", ""initial_tp"": ""2602"", ""gross_profit"": ""0.14"", ""commission"": ""-0.14"", ""swap"": ""0"", ""fee"": ""0"", ""net_profit"": ""0"", ""mfe_money"": ""7"", ""mae_money"": ""1"", ""risk_pct"": ""0.5"", ""setup_id"": ""Z6"", ""spread_money"": """", ""slippage_money"": """", ""spread_points"": ""12"", ""chase_entry"": ""NO"", ""loss_classification"": ""UNKNOWN""}",,2025-01-06T22:00:00+00:00,"21根已收盘K线净位移与2×SMA(TR,14)；研究代理，不等于EA指标",,0.5,SYNTHETIC_DEMO_ONLY,development,18–23时,Z6,2.2602518566356675,,XAUUSD,,12.0,0.0
Scalping,XAUUSD,BUY,2025-01-07T02:00:00+00:00,2025-01-07T02:15:00+00:00,0.02,-5.0,unknown,8,/workspace/scratch/d4d90d2548bc/gsm-analyzer-work/python_analyzer/examples/synthetic/trades.csv,,false,,-0.14,,2612.0,,2609.57,,,0.0,-4.86,15–60分钟,15.0,2,2607.0,2620.0,UNKNOWN,5.0,,震荡代理,7.0,2.0,毛报价MFE与净收益差额，非已证实可锁定利润,S7,2.212142857142648,"{""run_id"": ""SYNTHETIC_DEMO_ONLY"", ""position_id"": ""S7"", ""strategy"": ""Scalping"", ""symbol"": ""XAUUSD"", ""side"": ""BUY"", ""time_open"": ""2025-01-07T02:00:00+00:00"", ""time_close"": ""2025-01-07T02:15:00+00:00"", ""volume"": ""0.02"", ""entry_price"": ""2612"", ""exit_price"": ""2609.57"", ""initial_sl"": ""2607"", ""initial_tp"": ""2620"", ""gross_profit"": ""-4.86"", ""commission"": ""-0.14"", ""swap"": ""0"", ""fee"": ""0"", ""net_profit"": ""-5"", ""mfe_money"": ""2"", ""mae_money"": ""5"", ""risk_pct"": ""0.5"", ""setup_id"": ""Z7"", ""spread_money"": """", ""slippage_money"": """", ""spread_points"": ""12"", ""chase_entry"": ""NO"", ""loss_classification"": ""UNKNOWN""}",,2025-01-07T02:00:00+00:00,"21根已收盘K线净位移与2×SMA(TR,14)；研究代理，不等于EA指标",,0.5,SYNTHETIC_DEMO_ONLY,development,00–05时,Z7,2.2602518566356675,,XAUUSD,,12.0,0.0
Intraday,XAUUSD,SELL,2025-01-07T06:00:00+00:00,2025-01-07T06:55:00+00:00,0.02,9.0,unknown,9,/workspace/scratch/d4d90d2548bc/gsm-analyzer-work/python_analyzer/examples/synthetic/trades.csv,,false,,-0.14,,2614.0,,2609.43,,,0.0,9.14,15–60分钟,55.0,6,2619.0,2606.0,UNKNOWN,1.0,,震荡代理,7.0,16.0,毛报价MFE与净收益差额，非已证实可锁定利润,S8,2.212142857142648,"{""run_id"": ""SYNTHETIC_DEMO_ONLY"", ""position_id"": ""S8"", ""strategy"": ""Intraday"", ""symbol"": ""XAUUSD"", ""side"": ""SELL"", ""time_open"": ""2025-01-07T06:00:00+00:00"", ""time_close"": ""2025-01-07T06:55:00+00:00"", ""volume"": ""0.02"", ""entry_price"": ""2614"", ""exit_price"": ""2609.43"", ""initial_sl"": ""2619"", ""initial_tp"": ""2606"", ""gross_profit"": ""9.14"", ""commission"": ""-0.14"", ""swap"": ""0"", ""fee"": ""0"", ""net_profit"": ""9"", ""mfe_money"": ""16"", ""mae_money"": ""1"", ""risk_pct"": ""0.5"", ""setup_id"": ""Z8"", ""spread_money"": """", ""slippage_money"": """", ""spread_points"": ""12"", ""chase_entry"": ""NO"", ""loss_classification"": ""UNKNOWN""}",,2025-01-07T06:00:00+00:00,"21根已收盘K线净位移与2×SMA(TR,14)；研究代理，不等于EA指标",,0.5,SYNTHETIC_DEMO_ONLY,development,06–11时,Z8,2.2602518566356675,,XAUUSD,,12.0,0.0
Swing,XAUUSD,BUY,2025-01-07T10:00:00+00:00,2025-01-07T11:35:00+00:00,0.02,-14.0,unknown,10,/workspace/scratch/d4d90d2548bc/gsm-analyzer-work/python_analyzer/examples/synthetic/trades.csv,,true,,-0.14,,2616.0,,2609.07,,,0.0,-13.86,1–24小时,95.0,10,2611.0,2624.0,ENTRY_TOO_LATE,14.0,,震荡代理,14.0,0.0,毛报价MFE与净收益差额，非已证实可锁定利润,S9,2.2121428571426804,"{""run_id"": ""SYNTHETIC_DEMO_ONLY"", ""position_id"": ""S9"", ""strategy"": ""Swing"", ""symbol"": ""XAUUSD"", ""side"": ""BUY"", ""time_open"": ""2025-01-07T10:00:00+00:00"", ""time_close"": ""2025-01-07T11:35:00+00:00"", ""volume"": ""0.02"", ""entry_price"": ""2616"", ""exit_price"": ""2609.07"", ""initial_sl"": ""2611"", ""initial_tp"": ""2624"", ""gross_profit"": ""-13.86"", ""commission"": ""-0.14"", ""swap"": ""0"", ""fee"": ""0"", ""net_profit"": ""-14"", ""mfe_money"": ""0"", ""mae_money"": ""14"", ""risk_pct"": ""0.5"", ""setup_id"": ""Z9"", ""spread_money"": """", ""slippage_money"": """", ""spread_points"": ""12"", ""chase_entry"": ""YES"", ""loss_classification"": ""ENTRY_TOO_LATE""}",,2025-01-07T10:00:00+00:00,"21根已收盘K线净位移与2×SMA(TR,14)；研究代理，不等于EA指标",,0.5,SYNTHETIC_DEMO_ONLY,development,06–11时,Z9,2.260251856635634,,XAUUSD,,12.0,0.0
Scalping,XAUUSD,SELL,2025-01-07T14:00:00+00:00,2025-01-07T14:15:00+00:00,0.02,18.0,unknown,11,/workspace/scratch/d4d90d2548bc/gsm-analyzer-work/python_analyzer/examples/synthetic/trades.csv,,false,,-0.14,,2618.0,,2608.93,,,0.0,18.14,15–60分钟,15.0,14,2623.0,2610.0,UNKNOWN,1.0,,震荡代理,7.0,25.0,毛报价MFE与净收益差额，非已证实可锁定利润,S10,2.212142857142648,"{""run_id"": ""SYNTHETIC_DEMO_ONLY"", ""position_id"": ""S10"", ""strategy"": ""Scalping"", ""symbol"": ""XAUUSD"", ""side"": ""SELL"", ""time_open"": ""2025-01-07T14:00:00+00:00"", ""time_close"": ""2025-01-07T14:15:00+00:00"", ""volume"": ""0.02"", ""entry_price"": ""2618"", ""exit_price"": ""2608.93"", ""initial_sl"": ""2623"", ""initial_tp"": ""2610"", ""gross_profit"": ""18.14"", ""commission"": ""-0.14"", ""swap"": ""0"", ""fee"": ""0"", ""net_profit"": ""18"", ""mfe_money"": ""25"", ""mae_money"": ""1"", ""risk_pct"": ""0.5"", ""setup_id"": ""Z10"", ""spread_money"": """", ""slippage_money"": """", ""spread_points"": ""12"", ""chase_entry"": ""NO"", ""loss_classification"": ""UNKNOWN""}",,2025-01-07T14:00:00+00:00,"21根已收盘K线净位移与2×SMA(TR,14)；研究代理，不等于EA指标",,0.5,SYNTHETIC_DEMO_ONLY,development,12–17时,Z10,2.2602518566356675,,XAUUSD,,12.0,0.0
